Price,Beds,Baths,Sq-ft,Basement,Garage,Rooms,Annual Tax,Style,Year Built,Walkable Score,Bikeable Score,Address,City,Zip
735000,4.0,2.5,3277.0,1,1,8.0,18901.0,Single Family Residential,1975,48.0,29.0,"973 Curtis Pl,North Brunswick, NJ 08902",North Brunswick, 08902
325000,2.0,2.0,1118.0,0,0,,2022.0,Townhouse,1986,28.0,31.0,"361 Wycoff Way #361,East Brunswick, NJ 08816",East Brunswick, 08816
399900,2.0,1.0,1008.0,1,1,5.0,3670.0,Single Family Residential,1966,67.0,58.0,"50 Bonnie Brook Ave,Edison, NJ 08817",Edison, 08817
339000,2.0,1.0,,1,0,7.0,4800.0,Single Family Residential,1947,61.0,36.0,"21 Erickson Ave,Monroe, NJ 08831",Monroe, 08831
650000,4.0,2.5,2435.0,1,1,8.0,10835.0,Single Family Residential,1974,71.0,51.0,"53 Campbell Ave,Edison, NJ 08817",Edison, 08817
360000,3.0,1.0,2112.0,1,0,,,Single Family Residential,1924,66.0,45.0,"17 Grant Ave,Carteret, NJ 07008",Carteret, 07008
759900,4.0,2.5,2032.0,1,1,,13782.0,Single Family Residential,1979,8.0,37.0,"121 Parker Rd,Plainsboro, NJ 08536",Plainsboro, 08536
99000,,,,1,1,,1191.0,Other,,93.0,71.0,"214 George St,New Brunswick, NJ 08901",New Brunswick, 08901
826000,5.0,3.5,,1,1,9.0,1.0,Single Family Residential,1950,56.0,55.0,"8 Burnham Rd,East Brunswick, NJ 08816",East Brunswick, 08816
499900,4.0,1.0,,1,1,10.0,6277.0,Single Family Residential,1954,58.0,30.0,"697 Old Bridge Tpke,East Brunswick, NJ 08816",East Brunswick, 08816
425000,,,1464.0,1,0,8.0,9912.0,Multi-Family (2-4 Unit),,82.0,51.0,"9 Barnard St,Highland Park, NJ 08904",Highland Park, 08904
130000,,1.0,403.0,0,0,1.0,2544.0,Condo/Co-op,1987,87.0,47.0,"40 Fayette St #21,Perth Amboy, NJ 08861",Perth Amboy, 08861
625000,5.0,2.0,2170.0,1,0,6.0,9895.0,Single Family Residential,1928,82.0,51.0,"1158 Raritan Ave,Highland Park, NJ 08904",Highland Park, 08904
107738,1.0,1.0,786.0,1,0,,2460.0,Condo/Co-op,,33.0,68.0,"8111 Tamarron Dr,Plainsboro, NJ 08536",Plainsboro, 08536
549999,3.0,1.5,,1,1,8.0,2022.0,Single Family Residential,1959,35.0,37.0,"1809 Wickford Rd,South Plainfield, NJ 07080",South Plainfield, 07080
449999,2.0,1.0,1257.0,1,0,5.0,7698.0,Single Family Residential,1914,73.0,48.0,"255 Grove St,Woodbridge Proper, NJ 07095",Woodbridge Proper, 07095
699900,4.0,3.0,,1,1,11.0,4245.0,Other,1955,44.0,46.0,"175 E Elm St,Carteret, NJ 07008",Carteret, 07008
735490,3.0,3.0,2452.0,1,0,,,,,8.0,30.0,"Apollo Plan,Monroe Township, NJ 08831",Monroe Township, 08831
550000,3.0,2.0,,1,1,9.0,7166.0,Single Family Residential,,36.0,29.0,"40 Cottonwood Dr,Sayreville, NJ 08872",Sayreville, 08872
609900,3.0,2.5,1842.0,1,1,,9119.0,Townhouse,1999,47.0,42.0,"2004 Dahlia Cir,Dayton, NJ 08810",Dayton, 08810
535000,4.0,2.0,1743.0,1,1,9.0,10091.0,Single Family Residential,1967,31.0,40.0,"1217 Dakota Rd,North Brunswick, NJ 08902",North Brunswick, 08902
449900,3.0,2.0,,1,1,8.0,7406.0,Single Family Residential,,49.0,43.0,"131 Jackson Ave,South Plainfield, NJ 07080",South Plainfield, 07080
549000,5.0,2.0,,0,1,8.0,9162.0,Single Family Residential,1960,68.0,50.0,"21 Eardley Rd,Edison, NJ 08817",Edison, 08817
299999,2.0,1.0,,0,0,6.0,4958.0,Single Family Residential,,69.0,34.0,"61 Cricket Ln,Woodbridge Proper, NJ 07095",Woodbridge Proper, 07095
712865,3.0,2.5,,0,1,6.0,5500.0,Single Family Residential,,35.0,38.0,"206 Lyla Ln,New Brunswick, NJ 08901",New Brunswick, 08901
325000,3.0,1.5,,0,0,7.0,6881.0,Single Family Residential,,30.0,21.0,"44 Kendall Dr,Sayreville, NJ 08859",Sayreville, 08859
685000,4.0,2.5,2068.0,0,1,8.0,13798.0,Single Family Residential,1998,7.0,18.0,"4 Berkshire Way,East Brunswick, NJ 08816",East Brunswick, 08816
549900,4.0,2.5,,1,0,8.0,11602.0,Single Family Residential,1960,65.0,44.0,"117 Benart Pl,Middlesex, NJ 08846",Middlesex, 08846
269900,1.0,1.0,,1,0,,,Condo/Co-op,,62.0,55.0,"119 Elizabeth St #424,South Bound Brook Boro, NJ 08880-1267",South Bound Brook Boro, 08880-1267
375000,2.0,1.0,,1,1,6.0,6343.0,Single Family Residential,,30.0,28.0,"54 Horseshoe Rd,Sayreville, NJ 08872",Sayreville, 08872
529900,3.0,2.5,,1,0,,,Multi-Family (2-4 Unit),,80.0,41.0,"756A Middlesex Ave,Metuchen Boro, NJ 08840-2269",Metuchen Boro, 08840-2269
650000,,,,1,0,,,Vacant Land,,39.0,28.0,"0 Kearney Ave,South Amboy, NJ 08879",South Amboy, 08879
535000,3.0,2.5,1680.0,0,1,8.0,8262.0,Single Family Residential,1984,38.0,39.0,"16 Sandpiper Ln,South Brunswick, NJ 08810",South Brunswick, 08810
500000,2.0,2.5,1684.0,1,1,8.0,7083.0,Single Family Residential,,14.0,44.0,"14 Ironwood Ct,South Brunswick, NJ 08852",South Brunswick, 08852
299999,2.0,2.0,1296.0,1,1,,2898.0,Condo/Co-op,,16.0,30.0,"94 Winthrop Dr Unit I,Monroe Township, NJ 08831",Monroe Township, 08831
499000,4.0,2.0,1680.0,1,0,8.0,8013.0,Single Family Residential,1914,78.0,54.0,"113 S Pine Ave S,South Amboy, NJ 08879",South Amboy, 08879
